Runs,Minutes,Balls_faced,4s,6s,Strike_Rate,Position,Dismissal,Innings,Opposition,Ground
0,13,6,0,0,0,1,run out,1,South Africa,Melbourne
137,223,126,14,3,108.73,1,bowled,1,Bangladesh,Melbourne
34,83,48,1,2,70.83,1,bowled,2,Australia,Sydney
63,100,68,4,1,92.64,1,caught,2,Bangladesh,Mirpur
0,1,2,0,0,0,1,caught,1,Bangladesh,Mirpur
29,34,29,2,1,100,1,caught,1,Bangladesh,Mirpur
150,215,133,13,6,112.78,1,caught,2,South Africa,Kanpur
3,6,10,0,0,30,1,bowled,1,South Africa,Indore
65,95,74,7,2,87.83,1,caught,2,South Africa,Rajkot
21,21,19,4,0,110.52,1,caught,1,South Africa,Chennai
16,21,20,3,0,80,1,caught,2,South Africa,Wankhede
171,205,163,13,7,104.9,1,not out,1,Australia,Perth
124,175,127,11,3,97.63,1,run out,1,Australia,Brisbane
6,17,11,0,0,54.54,1,caught,1,Australia,Melbourne
41,28,25,2,3,164,1,caught,2,Australia,Canberra
99,142,108,9,1,91.66,1,caught,2,Australia,Sydney
14,44,26,1,1,53.84,1,lbw,2,New Zealand,Dharamsala
15,28,27,1,1,55.55,1,caught,2,New Zealand,Delhi
13,35,21,2,0,61.9,1,lbw,2,New Zealand,Mohali
11,15,19,2,0,57.89,2,caught,2,New Zealand,Ranchi
70,107,65,5,3,107.69,2,caught,1,New Zealand,Visakhapatnam
91,146,119,7,2,76.47,1,run out,1,Pakistan,Birmingham
78,107,79,6,3,98.73,1,caught,1,Sri Lanka,The Oval
12,23,20,1,1,60,1,caught,2,South Africa,The Oval
123,165,129,15,1,95.34,1,not out,2,Bangladesh,Birmingham
0,4,3,0,0,0,1,lbw,2,Pakistan,The Oval
4,5,13,0,0,30.76,1,run out,2,Sri Lanka,Dambulla
54,25,45,5,3,120,1,lbw,2,Sri Lanka,Pallekele
124,69,145,16,2,85.51,1,not out,2,Sri Lanka,Pallekele
104,56,88,11,3,118.18,1,caught,1,Sri Lanka,Colombo (RPS)
16,18,20,1,0,80,1,caught,2,Sri Lanka,Colombo (RPS)
28,81,44,3,0,63.63,2,caught,1,Australia,Chennai
7,24,14,1,0,50,2,caught,1,Australia,Eden Gardens
71,94,62,6,4,114.51,2,caught,2,Australia,Indore
65,93,55,1,5,118.18,2,run out,2,Australia,Bengaluru
125,165,109,11,5,114.67,2,caught,2,Australia,Nagpur
20,27,18,0,2,111.11,1,bowled,1,New Zealand,Wankhede
7,17,19,1,0,36.84,1,caught,2,New Zealand,Pune
147,168,138,18,2,106.52,1,caught,1,New Zealand,Kanpur
2,19,13,0,0,15.38,1,caught,1,Sri Lanka,Dharamsala
208,212,153,13,12,135.94,1,not out,1,Sri Lanka,Mohali
7,14,14,0,1,50,1,bowled,2,Sri Lanka,Visakhapatnam
20,25,30,2,1,66.66,1,caught,2,South Africa,Durban
15,19,17,2,1,88.23,1,caught,2,South Africa,Centurion
0,4,6,0,0,0,1,caught,1,South Africa,Cape Town
5,19,13,1,0,38.46,1,caught,1,South Africa,Johannesburg
115,179,126,11,4,91.26,2,caught,1,South Africa,Gqeberha
15,14,13,3,0,115.38,2,caught,2,South Africa,Centurion
137,78,114,15,4,120.17,1,not out,2,England,Nottingham
15,19,26,2,0,57.69,1,bowled,2,England,Lord's
2,24,18,0,0,11.11,1,caught,1,England,Leeds
52,24,39,6,3,133.33,1,bowled,2,Pakistan,Dubai (DSC)
83,77,104,5,3,79.8,1,not out,2,Bangladesh,Dubai (DSC)
111,75,119,7,4,93.27,1,not out,2,Pakistan,Dubai (DSC)
48,36,55,3,3,87.27,1,caught,2,Bangladesh,Dubai (DSC)
133,204,129,10,6,103.1,1,caught,2,Australia,Sydney
43,71,52,2,2,82.69,1,caught,2,Australia,Adelaide
9,14,17,1,0,52.94,1,caught,2,Australia,Melbourne
11,38,24,1,0,45.83,1,caught,2,New Zealand,Napier
87,116,96,9,3,90.62,1,caught,1,New Zealand,Mount Maunganui
62,115,77,3,2,80.51,1,stumped,2,New Zealand,Mount Maunganui
7,33,23,0,0,30.43,1,caught,1,New Zealand,Hamilton
2,16,16,0,0,12.5,1,bowled,1,New Zealand,Wellington
37,32,66,5,0,56.06,1,caught,2,Australia,Hyderabad
0,9,6,0,0,0,1,caught,1,Australia,Nagpur
14,15,14,2,1,100,2,lbw,2,Australia,Ranchi
95,59,92,7,2,103.26,1,caught,1,Australia,Mohali
56,64,89,4,0,62.92,1,stumped,2,Australia,Delhi
122,212,144,13,2,84.72,2,not out,2,South Africa,Southampton
57,101,70,3,1,81.42,1,caught,1,Australia,The Oval
140,153,113,14,3,123.89,2,caught,1,Pakistan,Manchester
102,152,109,15,0,93.57,2,caught,2,England,Birmingham
104,121,92,7,5,113.04,2,caught,1,Bangladesh,Birmingham
103,133,94,14,2,109.57,2,caught,2,Sri Lanka,Leeds
1,7,4,0,0,25,2,caught,2,New Zealand,Manchester
10,15,15,2,0,66.66,1,caught,1,Australia,Wankhede
42,23,44,6,0,95.45,1,lbw,1,Australia,Rajkot
119,79,128,8,6,92.96,1,caught,2,Australia,Bengaluru
28,79,42,4,0,66.66,1,caught,1,England,Pune
25,38,25,5,0,100,1,caught,1,England,Pune
37,71,37,6,0,100,1,bowled,1,England,Pune
76,79,58,7,5,131.03,1,not out,2,England,The Oval
0,12,10,0,0,0,1,lbw,2,England,Lord's
17,22,17,4,0,100,1,caught,2,England,Manchester
27,47,31,4,1,87.09,1,bowled,1,Bangladesh,Mirpur
51,40,28,3,5,182.14,9,not out,2,Bangladesh,Mirpur
83,105,67,9,3,123.88,1,bowled,1,Sri Lanka,Guwahati
17,23,21,2,1,80.95,1,caught,2,Sri Lanka,Eden Gardens
42,63,49,2,3,85.71,1,caught,1,Sri Lanka,Thiruvananthapuram
34,49,38,4,2,89.47,1,caught,1,New Zealand,Hyderabad
51,65,50,7,2,102,1,lbw,2,New Zealand,Raipur
101,113,85,9,6,118.82,1,bowled,1,New Zealand,Indore
13,24,15,2,0,86.66,1,caught,1,Australia,Visakhapatnam
30,44,17,2,2,176.47,1,caught,2,Australia,Chennai
11,25,22,2,0,50,1,bowled,1,Pakistan,Pallekele
56,77,49,6,4,114.28,1,caught,1,Pakistan,Colombo (RPS)
53,73,48,7,2,110.41,1,bowled,1,Sri Lanka,Colombo (RPS)
0,3,2,0,0,0,1,caught,2,Bangladesh,Colombo (RPS)
81,94,57,5,6,142.1,1,caught,2,Australia,Rajkot
0,10,6,0,0,0,1,lbw,2,Australia,Chennai
86,91,63,6,6,136.5,1,caught,2,Pakistan,Ahmedabad
48,51,40,7,2,120,1,caught,2,Bangladesh,Pune
46,44,40,4,4,115,1,bowled,2,New Zealand,Dharamsala
87,162,101,10,3,86.13,1,caught,1,England,Lucknow
4,2,2,1,0,200,1,bowled,1,Sri Lanka,Wankhede
40,32,24,6,2,166.66,1,caught,1,South Africa,Eden Gardens
