Runs,Minutes,Balls_faced,4s,6s,Strike_Rate,Position,Dismissal,Innings,Opposition,Ground
14.00,14.00,10.00,1.00,1.00,140.00,4.00,caught,1.00,England,Adelaide
111.00,72.00,51.00,11.00,7.00,217.64,3.00,not out,1.00,New Zealand,Mount Maunganui
13.00,25.00,10.00,1.00,1.00,130.00,3.00,caught,2.00,New Zealand,Napier
7.00,13.00,10.00,1.00,0.00,70.00,3.00,caught,1.00,Sri Lanka,Wankhede
51.00,73.00,36.00,3.00,3.00,141.66,4.00,caught,2.00,Sri Lanka,Pune
112.00,67.00,51.00,7.00,9.00,219.60,4.00,not out,1.00,Sri Lanka,Rajkot
47.00,44.00,34.00,6.00,2.00,138.23,4.00,caught,2.00,New Zealand,Ranchi
26.00,56.00,31.00,1.00,0.00,83.87,4.00,not out,2.00,New Zealand,Lucknow
24.00,21.00,13.00,1.00,2.00,184.61,4.00,caught,1.00,New Zealand,Ahmedabad
21.00,37.00,21.00,2.00,1.00,100.00,3.00,caught,2.00,West Indies,Tarouba
1.00,4.00,3.00,0.00,0.00,33.33,3.00,run out,1.00,West Indies,Providence
83.00,54.00,44.00,10.00,4.00,188.63,3.00,caught,2.00,West Indies,Providence
